ID         Имя                       Приоритет    Время запуска        Состояние       Время CPU      
80114      Code Helper               0            2025-11-12 09:37:25  Running         00:00:03.3077666
80109      Code Helper               0            2025-11-12 09:37:25  Running         00:00:20.3394916
80103      Code Helper               0            2025-11-12 09:37:24  Running         00:00:28.4941416
80102      Code Helper (Pl           0            2025-11-12 09:37:24  Running         00:00:17.4934333
80066      Code Helper (Re           0            2025-11-12 09:37:24  Running         00:07:47.2841000
80065      Code Helper               0            2025-11-12 09:37:24  Running         00:00:02.6643916
80064      Code Helper (GP           0            2025-11-12 09:37:24  Running         00:02:56.1788875
80063      chrome_crashpad           0            2025-11-12 09:37:24  Running         00:00:00.4956750
80061      Electron                  0            2025-11-12 09:37:23  Running         00:04:04.1024125
80054      QuickLookUIServ           0            2025-11-12 09:36:16  Running         00:00:00.2767916
80053      ImageIOXPCServi           0            2025-11-12 09:36:16  Running         00:00:00.0309750
80052      com.apple.appki           0            2025-11-12 09:36:16  Running         00:00:02.0025166
80038      Userscripts-Mac           0            2025-11-12 09:36:13  Running         00:00:00.6612125
80033      com.apple.audio           0            2025-11-12 09:36:12  Running         00:00:00.0229875
80030      webinspectord             0            2025-11-12 09:36:12  Running         00:00:00.2962416
80031      com.apple.WebKi           0            2025-11-12 09:36:12  Running         00:24:52.0432375
80023      com.apple.Safar           0            2025-11-12 09:36:11  Running         00:00:00.3140291
80020      com.apple.Safar           0            2025-11-12 09:36:11  Running         00:00:00.3716333
80019      com.apple.WebKi           0            2025-11-12 09:36:11  Running         00:02:03.8866875
80018      BlockerOtherExt           0            2025-11-12 09:36:11  Running         00:00:00.0335416
80017      BlockerCustomEx           0            2025-11-12 09:36:11  Running         00:00:00.0348375
80016      BlockerSocialEx           0            2025-11-12 09:36:11  Running         00:00:00.0453291
80015      BlockerSecurity           0            2025-11-12 09:36:11  Running         00:00:00.0399041
80014      BlockerPrivacyE           0            2025-11-12 09:36:10  Running         00:00:00.0524416
80013      AdGuardForSafar           0            2025-11-12 09:36:10  Running         00:00:00.0605291
80012      com.apple.Safar           0            2025-11-12 09:36:10  Running         00:00:03.3925125
